Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
0;2026;JANEIRO;RUSSIA;RONDONIA;408483.0;1008000.0;1;1
0;2026;JANEIRO;RUSSIA;MINAS GERAIS;391012.0;980000.0;1;1
0;2026;JANEIRO;RUSSIA;PARANA;341574.0;616000.0;1;1
0;2026;JANEIRO;RUSSIA;ESPIRITO SANTO;322550.0;1000000.0;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;315500.0;1000000.0;1;1
0;2026;JANEIRO;RUSSIA;RONDONIA;293180.0;616000.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;212750.0;504000.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;201092.0;504000.0;1;1
0;2026;JANEIRO;RUSSIA;GOIAS;201092.0;504000.0;1;1
0;2026;JANEIRO;RUSSIA;MATO GROSSO;170964.0;308000.0;1;1
0;2026;JANEIRO;RUSSIA;PARANA;32031.0;56000.0;1;1
1;2025;FEVEREIRO;BRASIL;ESPIRITO SANTO;739.0;750.0;0;1
1;2025;OUTUBRO;BRASIL;ESPIRITO SANTO;634.0;800.0;0;1
1;2025;MARCO;BRASIL;ESPIRITO SANTO;234.0;300.0;0;1
1;2025;NOVEMBRO;BRASIL;ESPIRITO SANTO;232.0;300.0;0;1
1;2025;AGOSTO;BRASIL;ESPIRITO SANTO;152.0;200.0;0;1
1;2025;AGOSTO;BRASIL;SAO PAULO;90.0;50.0;0;1
1;2025;ABRIL;BRASIL;ESPIRITO SANTO;88.0;100.0;0;1
1;2025;JULHO;BRASIL;ESPIRITO SANTO;82.0;100.0;0;1
1;2025;DEZEMBRO;BRASIL;RIO GRANDE DO SUL;71.0;28.0;0;1
1;2025;DEZEMBRO;BRASIL;ESPIRITO SANTO;58.0;75.0;0;1
1;2025;DEZEMBRO;BRASIL;RIO DE JANEIRO;53.0;32.0;0;1
1;2025;MAIO;BRASIL;ESPIRITO SANTO;39.0;50.0;0;1
1;2025;OUTUBRO;BRASIL;RIO GRANDE DO SUL;19.0;10.0;0;1
1;2025;OUTUBRO;BRASIL;RIO DE JANEIRO;12.0;15.0;0;1
