Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
0;2025;OUTUBRO;RUSSIA;MARANHAO;1.7776702508671163;1.7466433562351436;1;1
0;2025;DEZEMBRO;RUSSIA;MINAS GERAIS;1.773508587045026;1.4098530362568298;1;1
0;2025;SETEMBRO;RUSSIA;RIO GRANDE DO SUL;1.727084703001496;1.7993751661782535;1;1
0;2025;JANEIRO;RUSSIA;MATO GROSSO;1.6922406283849278;2.370908698360606;1;1
0;2025;SETEMBRO;RUSSIA;MINAS GERAIS;1.692135280901267;1.8020379408357288;1;1
0;2025;MAIO;RUSSIA;MARANHAO;1.6798362689361015;1.9957125487190701;1;1
0;2025;JUNHO;RUSSIA;PARANA;1.6482788254653589;1.784468034027347;1;1
0;2025;AGOSTO;RUSSIA;SAO PAULO;1.606737034791084;2.5123389024126865;1;1
0;2025;ABRIL;RUSSIA;SANTA CATARINA;1.594969492993073;1.919402004175516;1;1
0;2025;DEZEMBRO;RUSSIA;MARANHAO;1.5787510638321387;1.6155429650597957;1;1
0;2025;MARCO;RUSSIA;MATO GROSSO;1.5289707844189944;2.1491541825832745;1;1
0;2025;AGOSTO;RUSSIA;RIO GRANDE DO SUL;1.516104543739808;1.5216709544179767;1;1
0;2025;SETEMBRO;RUSSIA;SAO PAULO;1.4591653681865748;1.4719858816478664;1;1
0;2025;NOVEMBRO;RUSSIA;SAO PAULO;1.4316560025655227;1.0539260101376082;1;1
0;2025;MARCO;RUSSIA;SANTA CATARINA;1.410241891602273;1.7698980513755729;1;1
0;2025;ABRIL;RUSSIA;MATO GROSSO;1.3874107605759376;1.45367373111794;1;1
0;2025;NOVEMBRO;RUSSIA;RIO GRANDE DO SUL;1.3520239974245707;1.1142160868795348;1;1
0;2025;OUTUBRO;RUSSIA;MATO GROSSO;1.3341017786776406;0.8437647199108704;1;1
0;2025;JUNHO;RUSSIA;MARANHAO;1.3307201419808263;1.409900926810684;1;1
0;2025;JULHO;RUSSIA;BAHIA;1.326754624305519;1.5301556639810991;1;1
0;2025;SETEMBRO;RUSSIA;SANTA CATARINA;1.307435894073853;1.2871053563055441;1;1
0;2025;JULHO;RUSSIA;MINAS GERAIS;1.2566263294293336;2.0569716908182327;1;1
0;2025;SETEMBRO;RUSSIA;PARA;1.2387223405298255;1.2510946529669458;1;1
0;2025;SETEMBRO;RUSSIA;MINAS GERAIS;1.236023972537354;0.6942876456842779;1;1
0;2025;MARCO;RUSSIA;BAHIA;1.2333203459350492;1.6831187514859172;1;1
0;2025;JUNHO;RUSSIA;PARA;1.2200111550209027;1.3431061155915365;1;1
0;2025;AGOSTO;RUSSIA;SAO PAULO;1.2140121329230502;1.1849553437036753;1;1
0;2025;ABRIL;RUSSIA;MATO GROSSO;1.2135111626929291;1.4696053619421683;1;1
0;2025;NOVEMBRO;RUSSIA;MARANHAO;1.2087912097935347;1.2264322149959779;1;1
0;2025;OUTUBRO;RUSSIA;BAHIA;1.1915168517780697;0.7483048979560218;1;1
0;2025;FEVEREIRO;RUSSIA;PARANA;1.169103604946489;1.0710004293031778;1;1
0;2025;JULHO;RUSSIA;MINAS GERAIS;1.126918686289599;1.1763743741273063;1;1
0;2025;MARCO;RUSSIA;MINAS GERAIS;1.1187755536757071;1.3834593547640395;1;1
0;2025;DEZEMBRO;RUSSIA;PARA;1.1111749343096193;0.9241829569848675;1;1
0;2025;JUNHO;RUSSIA;MINAS GERAIS;1.0660269642986475;1.1554468605882202;1;1
0;2025;AGOSTO;RUSSIA;PARANA;1.0655940054223707;0.8147191588616067;1;1
0;2025;DEZEMBRO;RUSSIA;SAO PAULO;1.0416611956359547;1.6888703471405913;1;1
0;2025;MAIO;RUSSIA;SAO PAULO;1.0346260521139434;1.1183006722177433;1;1
0;2025;SETEMBRO;RUSSIA;MINAS GERAIS;0.9665090002120088;0.9344274049493554;1;1
0;2025;FEVEREIRO;RUSSIA;MATO GROSSO;0.9605159378719673;1.406067587290632;1;1
0;2025;JULHO;RUSSIA;GOIAS;0.9601424012868072;1.0016100697915278;1;1
0;2025;JANEIRO;RUSSIA;MARANHAO;0.951387341775311;1.5021620788104308;1;1
0;2025;ABRIL;RUSSIA;GOIAS;0.9463830733709283;1.2036265536611221;1;1
0;2025;NOVEMBRO;RUSSIA;MINAS GERAIS;0.9144485875751366;1.5945324212729652;1;1
0;2025;MAIO;RUSSIA;SAO PAULO;0.8967318051856948;1.533507344255764;1;1
0;2025;AGOSTO;RUSSIA;MATO GROSSO;0.8835496973425202;0.8376588538840614;1;1
0;2025;SETEMBRO;RUSSIA;ESPIRITO SANTO;0.8617534607313825;0.4243852840523575;1;1
0;2025;DEZEMBRO;RUSSIA;SAO PAULO;0.85002255391521;0.6421674579770759;1;1
0;2025;OUTUBRO;RUSSIA;SANTA CATARINA;0.8164216146632389;0.3926440235898439;1;1
0;2025;NOVEMBRO;RUSSIA;MARANHAO;0.8125865105117979;0.5808765285227928;1;1
0;2025;JUNHO;RUSSIA;SAO PAULO;0.8062290265103073;1.5035700012305464;1;1
0;2025;SETEMBRO;RUSSIA;SAO PAULO;0.8025828817388769;0.46323140749507474;1;1
0;2025;NOVEMBRO;RUSSIA;MINAS GERAIS;0.8001106339692383;0.5984905545039124;1;1
0;2025;DEZEMBRO;RUSSIA;ESPIRITO SANTO;0.7899494221883121;0.8419342232161856;1;1
0;2025;SETEMBRO;RUSSIA;MATO GROSSO;0.7701272677086031;0.8277383855163959;1;1
0;2025;DEZEMBRO;RUSSIA;PARANA;0.7621375112148496;0.5491317959951247;1;1
0;2025;ABRIL;RUSSIA;TOCANTINS;0.7542622171284681;0.8971846572496703;1;1
0;2025;FEVEREIRO;RUSSIA;SAO PAULO;0.7528795533162935;1.4616177563280506;1;1
0;2025;ABRIL;RUSSIA;PARA;0.7495752181840291;0.8673480639771229;1;1
0;2025;JANEIRO;RUSSIA;PARA;0.7334829956590946;1.1101886708899897;1;1
0;2025;SETEMBRO;RUSSIA;SANTA CATARINA;0.721746129085111;0.23916844729559553;1;1
0;2025;JUNHO;RUSSIA;BAHIA;0.6866284314702157;0.5564433665784009;1;1
0;2025;SETEMBRO;RUSSIA;PARANA;0.67339776912958;0.4057423893848768;1;1
0;2025;MARCO;RUSSIA;SAO PAULO;0.6622312864355173;1.1381987184385451;1;1
0;2025;JULHO;RUSSIA;PARANA;0.6493734595320642;0.5012939816135482;1;1
0;2025;JULHO;RUSSIA;SANTA CATARINA;0.6431630413189121;0.3181399706008553;1;1
0;2025;ABRIL;RUSSIA;BAHIA;0.6333532799618462;0.838212708139383;1;1
